"concurrent_requests";"benchmark_title";"client_home_elapsed_seconds";"client_home_error_msg";"client_home_http_code";"client_home_result";"client_home_started_time";"client_home_stopped_time";"server_buy_cpu_usage";"server_buy_memory_usage";"server_buy_elapsed_seconds";"server_buy_error_msg";"server_buy_result";"server_buy_started_time";"server_buy_stopped_time";"client_buy_elapsed_seconds";"client_buy_error_msg";"client_buy_http_code";"client_buy_result";"client_buy_started_time";"client_buy_stopped_time"
1000;"";10.454;"";200;True;"2015-01-03T00:33:34.001567";"2015-01-03T00:33:44.455376";31.9;3103;0.295;"";True;"2015-01-03T00:33:46.941527";"2015-01-03T00:33:47.236679";8.552;"";200;True;"2015-01-03T00:33:44.455592";"2015-01-03T00:33:53.007981"
1000;"";11.102;"";200;True;"2015-01-03T00:33:34.560158";"2015-01-03T00:33:45.661847";32.2;3103;0.319;"";True;"2015-01-03T00:33:47.099371";"2015-01-03T00:33:47.418311";7.416;"";200;True;"2015-01-03T00:33:45.662049";"2015-01-03T00:33:53.078523"
1000;"";11.563;"";200;True;"2015-01-03T00:33:34.315150";"2015-01-03T00:33:45.878078";32.5;3103;0.286;"";True;"2015-01-03T00:33:47.199087";"2015-01-03T00:33:47.484962";7.368;"";200;True;"2015-01-03T00:33:45.878237";"2015-01-03T00:33:53.246137"
1000;"";10.728;"";200;True;"2015-01-03T00:33:35.203607";"2015-01-03T00:33:45.931709";32.6;3103;0.313;"";True;"2015-01-03T00:33:47.208901";"2015-01-03T00:33:47.522096";7.528;"";200;True;"2015-01-03T00:33:45.931977";"2015-01-03T00:33:53.459999"
1000;"";9.998;"";200;True;"2015-01-03T00:33:35.182283";"2015-01-03T00:33:45.179977";31.8;3103;0.32;"";True;"2015-01-03T00:33:46.875405";"2015-01-03T00:33:47.195153";8.318;"";200;True;"2015-01-03T00:33:45.180108";"2015-01-03T00:33:53.498133"
1000;"";10.583;"";200;True;"2015-01-03T00:33:34.008849";"2015-01-03T00:33:44.591401";33.1;3104;0.344;"";True;"2015-01-03T00:33:47.442281";"2015-01-03T00:33:47.786721";8.976;"";200;True;"2015-01-03T00:33:44.591546";"2015-01-03T00:33:53.567825"
1000;"";9.769;"";200;True;"2015-01-03T00:33:34.913467";"2015-01-03T00:33:44.682772";"";"";"";"No JSON object could be decoded";"";"";"";8.9;"No JSON object could be decoded";-100;False;"2015-01-03T00:33:44.682891";"2015-01-03T00:33:53.582793"
1000;"";11.434;"";200;True;"2015-01-03T00:33:34.997304";"2015-01-03T00:33:46.431156";32.9;3104;0.368;"";True;"2015-01-03T00:33:47.741049";"2015-01-03T00:33:48.108495";7.153;"";200;True;"2015-01-03T00:33:46.431364";"2015-01-03T00:33:53.584888"
1000;"";6.983;"";200;True;"2015-01-03T00:33:34.700744";"2015-01-03T00:33:41.683546";"";"";"";"No JSON object could be decoded";"";"";"";11.915;"No JSON object could be decoded";-100;False;"2015-01-03T00:33:41.683794";"2015-01-03T00:33:53.598810"
1000;"";9.961;"";200;True;"2015-01-03T00:33:34.299495";"2015-01-03T00:33:44.260020";"";"";"";"No JSON object could be decoded";"";"";"";9.402;"No JSON object could be decoded";-100;False;"2015-01-03T00:33:44.260378";"2015-01-03T00:33:53.662807"
